PLACE,NAME,YEAR,SCHOOL,PRELIM_TIME,FINAL_TIME,POINTS,REACTION,SPLITS_50,SECTION,EVENT_NUM,EVENT_NAME,EVENT_GENDER,EVENT_DISTANCE,EVENT_COURSE,EVENT_STROKE,IS_RELAY,MEET_YEAR
1,"Hafnaoui, Ahmed",5Y,Florida,4:09.78,4:06.56P,20.0,0.75,22.72|24.42|24.81|25.05|25.32|25.28|25.53|24.72|24.96|23.75,finals,12,Men 500 Yard Freestyle,Men,500,Yard,Freestyle,False,2026
2,"Jaouadi, Ahmed",FR,Florida,4:09.08,4:06.90,17.0,0.74,22.48|24.86|25.35|25.81|25.33|25.38|25.20|24.58|24.42|23.49,finals,12,Men 500 Yard Freestyle,Men,500,Yard,Freestyle,False,2026
3,"Maurer, Rex",JR,Texas,4:08.78,4:07.88,16.0,0.73,22.53|24.86|25.21|25.45|25.31|25.30|25.22|25.20|24.78|24.02,finals,12,Men 500 Yard Freestyle,Men,500,Yard,Freestyle,False,2026
1,"Liendo, Josh",SR,Florida,18.40,18.06P,20.0,0.61,8.77|9.29,finals,13,Men 50 Yard Freestyle,Men,50,Yard,Freestyle,False,2026
2,"Caribe, Gui",SR,Tennessee,18.39,18.19,17.0,0.56,8.72|9.47,finals,13,Men 50 Yard Freestyle,Men,50,Yard,Freestyle,False,2026
3,"Kharun, Ilya",JR,ASU,18.51,18.24,16.0,0.64,8.91|9.33,finals,13,Men 50 Yard Freestyle,Men,50,Yard,Freestyle,False,2026
1,"Williamson, Maximus",FR,Virginia,1:40.06,1:38.48,20.0,0.6,21.47|24.24|29.05|23.72,finals,16,Men 200 Yard IM,Men,200,Yard,IM,False,2026
2,"McDonald, Owen",SR,Indiana,1:39.48,1:38.57,17.0,0.57,20.94|24.09|29.30|24.24,finals,16,Men 200 Yard IM,Men,200,Yard,IM,False,2026
3,"Nelson, Baylor",SR,Texas,1:40.82,1:40.08,16.0,0.61,21.33|24.83|29.00|24.92,finals,16,Men 200 Yard IM,Men,200,Yard,IM,False,2026
1,"Liendo, Josh",SR,Florida,40.81,39.91P,20.0,0.61,8.93|9.91|10.49|10.58,finals,17,Men 100 Yard Freestyle,Men,100,Yard,Freestyle,False,2026
2,"Hribar, Jere",JR,LSU,40.76,40.33,17.0,0.68,9.07|10.22|10.46|10.58,finals,17,Men 100 Yard Freestyle,Men,100,Yard,Freestyle,False,2026
3,"Caribe, Gui",SR,Tennessee,41.05,40.41,16.0,0.57,9.08|10.17|10.54|10.62,finals,17,Men 100 Yard Freestyle,Men,100,Yard,Freestyle,False,2026
1,"Kharun, Ilya",JR,ASU,1:38.49,1:37.66P,20.0,0.71,22.16|25.07|25.48|24.95,finals,18,Men 200 Yard Butterfly,Men,200,Yard,Butterfly,False,2026
2,"Heilman, Thomas",FR,Virginia,1:39.26,1:38.16,17.0,0.66,22.19|25.19|25.49|25.29,finals,18,Men 200 Yard Butterfly,Men,200,Yard,Butterfly,False,2026
3,"Ray, Tyler",SR,Michigan,1:38.55,1:38.47,16.0,0.68,21.82|25.66|25.83|25.16,finals,18,Men 200 Yard Butterfly,Men,200,Yard,Butterfly,False,2026
1,"Kos, Hubert",SR,Texas,1:36.29,1:34.13N,20.0,0.71,22.15|23.78|23.80|24.40,finals,19,Men 200 Yard Backstroke,Men,200,Yard,Backstroke,False,2026
2,"Marshall, Jonny",JR,Florida,1:38.08,1:37.15,17.0,0.7,22.15|23.99|24.89|26.12,finals,19,Men 200 Yard Backstroke,Men,200,Yard,Backstroke,False,2026
3,"King, David",SO,Virginia,1:37.69,1:37.43,16.0,0.79,23.10|24.63|24.78|24.92,finals,19,Men 200 Yard Backstroke,Men,200,Yard,Backstroke,False,2026
